respondent_id,covid_vaccine
4757,0.1975
4758,0.1475
4759,0.2425
4760,0.3275
4761,0.04
4762,0.695
4763,0.3
4764,0.8175
4765,0.6525
4766,0.165
4767,0.1575
4768,0.8225
4769,0.6425
4770,0.31
4771,0.185
4772,0.3075
4773,0.115
4774,0.1425
4775,0.675
4776,0.2625
4777,0.1275
4778,0.1725
4779,0.325
4780,0.81
4781,0.0975
4782,0.0775
4783,0.4125
4784,0.11
4785,0.3
4786,0.71
4787,0.175
4788,0.0675
4789,0.5725
4790,0.855
4791,0.115
4792,0.105
4793,0.3725
4794,0.6275
4795,0.1575
4796,0.0475
4797,0.25
4798,0.755
4799,0.305
4800,0.1175
4801,0.18
4802,0.1925
4803,0.1475
4804,0.435
4805,0.0825
4806,0.075
4807,0.075
4808,0.27
4809,0.325
4810,0.625
4811,0.3475
4812,0.09
4813,0.045
4814,0.215
4815,0.175
4816,0.5325
4817,0.2675
4818,0.1575
4819,0.2025
4820,0.74
4821,0.7925
4822,0.41
4823,0.45
4824,0.3125
4825,0.1575
4826,0.165
4827,0.4625
4828,0.065
4829,0.68
4830,0.325
4831,0.2775
4832,0.2725
4833,0.14
4834,0.52
4835,0.565
4836,0.2075
4837,0.39
4838,0.35
4839,0.22
4840,0.27
4841,0.365
4842,0.625
4843,0.155
4844,0.13
4845,0.1075
4846,0.1175
4847,0.1325
4848,0.2925
4849,0.3475
4850,0.195
4851,0.26
4852,0.23
4853,0.015
4854,0.7125
4855,0.6925
4856,0.2175
4857,0.19
4858,0.5975
4859,0.1425
4860,0.165
4861,0.02
4862,0.1425
4863,0.1325
4864,0.115
4865,0.285
4866,0.32
4867,0.1375
4868,0.0975
4869,0.105
4870,0.065
4871,0.3125
4872,0.1475
4873,0.17
4874,0.15
4875,0.365
4876,0.0575
4877,0.17
4878,0.39
4879,0.4
4880,0.15
4881,0.2825
4882,0.2975
4883,0.1275
4884,0.03
4885,0.2425
4886,0.11
4887,0.4675
4888,0.5325
4889,0.2125
4890,0.0975
4891,0.155
4892,0.2875
4893,0.095
4894,0.745
4895,0.1375
4896,0.3975
4897,0.8175
4898,0.31
4899,0.23
4900,0.095
4901,0.1925
4902,0.4025
4903,0.2325
4904,0.9025
4905,0.185
4906,0.145
4907,0.63
4908,0.5325
4909,0.5975
4910,0.2275
4911,0.36
4912,0.1975
4913,0.845
4914,0.1
4915,0.78
4916,0.2025
4917,0.0775
4918,0.195
4919,0.0525
4920,0.2825
4921,0.4425
4922,0.2075
4923,0.4275
4924,0.2375
4925,0.1125
4926,0.0725
4927,0.205
4928,0.115
4929,0.6875
4930,0.23
4931,0.725
4932,0.2425
4933,0.565
