respondent_id,covid_vaccine
4757,0.215
4758,0.1225
4759,0.185
4760,0.255
4761,0.0525
4762,0.645
4763,0.34
4764,0.805
4765,0.7075
4766,0.2
4767,0.14
4768,0.805
4769,0.64
4770,0.3025
4771,0.155
4772,0.215
4773,0.08
4774,0.225
4775,0.51
4776,0.265
4777,0.1475
4778,0.1875
4779,0.295
4780,0.8
4781,0.085
4782,0.0825
4783,0.4175
4784,0.0925
4785,0.31
4786,0.6775
4787,0.165
4788,0.0525
4789,0.45
4790,0.8325
4791,0.1225
4792,0.1475
4793,0.345
4794,0.635
4795,0.15
4796,0.0375
4797,0.3025
4798,0.7
4799,0.34
4800,0.0625
4801,0.1675
4802,0.14
4803,0.1375
4804,0.3975
4805,0.0675
4806,0.0975
4807,0.0575
4808,0.26
4809,0.2875
4810,0.6
4811,0.3825
4812,0.115
4813,0.07
4814,0.285
4815,0.13
4816,0.4875
4817,0.2775
4818,0.135
4819,0.2275
4820,0.6325
4821,0.7325
4822,0.43
4823,0.495
4824,0.315
4825,0.2225
4826,0.135
4827,0.485
4828,0.06
4829,0.73
4830,0.3825
4831,0.1825
4832,0.32
4833,0.15
4834,0.535
4835,0.675
4836,0.185
4837,0.3775
4838,0.3025
4839,0.1825
4840,0.3
4841,0.46
4842,0.565
4843,0.15
4844,0.1475
4845,0.075
4846,0.145
4847,0.1075
4848,0.255
4849,0.3725
4850,0.175
4851,0.2125
4852,0.1975
4853,0.0775
4854,0.7075
4855,0.575
4856,0.2575
4857,0.1725
4858,0.6125
4859,0.1425
4860,0.125
4861,0.0475
4862,0.14
4863,0.1425
4864,0.1025
4865,0.275
4866,0.3425
4867,0.085
4868,0.1025
4869,0.1375
4870,0.065
4871,0.2575
4872,0.1075
4873,0.215
4874,0.125
4875,0.4025
4876,0.0625
4877,0.11
4878,0.58
4879,0.48
4880,0.1475
4881,0.435
4882,0.3225
4883,0.155
4884,0.0475
4885,0.21
4886,0.075
4887,0.45
4888,0.42
4889,0.1675
4890,0.0575
4891,0.245
4892,0.28
4893,0.105
4894,0.745
4895,0.145
4896,0.4
4897,0.8425
4898,0.385
4899,0.27
4900,0.0625
4901,0.22
4902,0.3525
4903,0.1775
4904,0.895
4905,0.23
4906,0.12
4907,0.645
4908,0.52
4909,0.5575
4910,0.2675
4911,0.3925
4912,0.185
4913,0.77
4914,0.0825
4915,0.73
4916,0.16
4917,0.075
4918,0.19
4919,0.065
4920,0.3925
4921,0.4175
4922,0.155
4923,0.3825
4924,0.2
4925,0.1325
4926,0.075
4927,0.1625
4928,0.1075
4929,0.705
4930,0.215
4931,0.545
4932,0.1975
4933,0.6125
4934,0.1425
4935,0.2925
4936,0.3125
4937,0.1
4938,0.8275
4939,0.225
4940,0.335
4941,0.6525
4942,0.7725
4943,0.315
4944,0.2275
4945,0.6925
4946,0.2575
4947,0.6025
4948,0.1775
4949,0.1375
4950,0.4175
4951,0.225
4952,0.3125
4953,0.2
4954,0.515
4955,0.1525
4956,0.095
4957,0.795
4958,0.375
4959,0.06
4960,0.3475
4961,0.6075
4962,0.265
4963,0.365
4964,0.6575
4965,0.2525
4966,0.1075
4967,0.13
4968,0.2975
4969,0.5
4970,0.3325
4971,0.8075
4972,0.54
4973,0.3275
4974,0.135
4975,0.195
4976,0.43
4977,0.085
4978,0.805
4979,0.305
4980,0.1225
4981,0.2225
4982,0.5125
4983,0.0925
4984,0.28
4985,0.1525
4986,0.325
4987,0.3225
4988,0.815
4989,0.1325
4990,0.2225
4991,0.2925
4992,0.145
4993,0.5725
4994,0.31
4995,0.245
4996,0.235
4997,0.5325
4998,0.255
4999,0.4875
5000,0.17
5001,0.2025
5002,0.1225
5003,0.485
5004,0.7575
5005,0.175
5006,0.0825
5007,0.7725
5008,0.1325
5009,0.11
5010,0.06
5011,0.3025
5012,0.1375
5013,0.1925
5014,0.13
5015,0.1225
5016,0.2
5017,0.415
5018,0.865
5019,0.1425
5020,0.1225
5021,0.35
5022,0.9175
5023,0.6325
5024,0.1875
5025,0.1825
5026,0.2125
5027,0.2475
5028,0.0725
5029,0.09
5030,0.6425
5031,0.34
5032,0.2
