respondent_id,covid_vaccine
4757,0.17531855
4758,0.17256415
4759,0.18876891
4760,0.2853434
4761,0.043624055
4762,0.6691381
4763,0.42317998
4764,0.7524834
4765,0.87353647
4766,0.2087605
4767,0.10683805
4768,0.94197565
4769,0.7192246
4770,0.15641457
4771,0.1416052
4772,0.23636775
4773,0.053854384
4774,0.14928292
4775,0.38256356
4776,0.2959078
4777,0.12993984
4778,0.24317603
4779,0.16503191
4780,0.95766103
4781,0.027919658
4782,0.056940503
4783,0.35519513
4784,0.11246247
4785,0.09578426
4786,0.821981
4787,0.16570689
4788,0.042467073
4789,0.34865046
4790,0.90720874
4791,0.098125294
4792,0.033226542
4793,0.28831846
4794,0.91540587
4795,0.054508734
4796,0.04065229
4797,0.24051881
4798,0.78502476
4799,0.1578775
4800,0.032317262
4801,0.08198444
4802,0.1386244
4803,0.027698077
4804,0.38928965
4805,0.063065425
4806,0.11294581
4807,0.033354815
4808,0.22563657
4809,0.20329082
4810,0.6252407
4811,0.49727678
4812,0.048133373
4813,0.10447898
4814,0.31477448
4815,0.1287901
4816,0.5290761
4817,0.19552709
4818,0.041708805
4819,0.14593807
4820,0.5531976
4821,0.8012285
4822,0.45559865
4823,0.60749006
4824,0.33375618
4825,0.06808072
4826,0.09387675
4827,0.6364683
4828,0.027786216
4829,0.91273093
4830,0.31549656
4831,0.100057304
4832,0.2479627
4833,0.053660594
4834,0.663242
4835,0.8167904
4836,0.13018611
4837,0.4131677
4838,0.19837464
4839,0.056876995
4840,0.29920027
4841,0.49854982
4842,0.5800487
4843,0.02250546
4844,0.10798487
4845,0.05018999
4846,0.092791066
4847,0.049618807
4848,0.07820398
4849,0.36952344
4850,0.04888394
4851,0.1493636
4852,0.1472269
4853,0.114451244
4854,0.7089838
4855,0.62689656
4856,0.26715106
4857,0.07624392
4858,0.72332597
4859,0.18715443
4860,0.075315244
4861,0.017094841
4862,0.18814164
4863,0.1294219
4864,0.048098244
4865,0.25880966
4866,0.31677926
4867,0.12917373
4868,0.043025196
4869,0.1268816
4870,0.03602224
4871,0.17824396
4872,0.0999478
4873,0.06345494
4874,0.047386114
4875,0.2819553
4876,0.030701753
4877,0.084970236
4878,0.69273597
4879,0.40300745
4880,0.043727428
4881,0.6959916
4882,0.21416277
4883,0.077081546
4884,0.030951729
4885,0.2723241
4886,0.043523207
4887,0.58052534
4888,0.40830967
4889,0.033941396
4890,0.04115888
4891,0.14402816
4892,0.11540681
4893,0.061645504
4894,0.8381193
4895,0.08752716
4896,0.69209874
4897,0.95270085
4898,0.38561457
4899,0.24690741
4900,0.03725842
4901,0.14238223
4902,0.31310183
4903,0.097128816
4904,0.9399618
4905,0.14073962
4906,0.0712892
4907,0.77318615
4908,0.6289315
4909,0.3378521
4910,0.22827566
4911,0.24361153
4912,0.03990333
4913,0.79970574
4914,0.051620297
4915,0.84269965
4916,0.10504499
4917,0.03774371
4918,0.10398968
4919,0.038865626
4920,0.39617762
4921,0.40525702
4922,0.12196047
4923,0.37130737
4924,0.100021966
4925,0.05745899
4926,0.054556567
4927,0.16818869
4928,0.11216687
4929,0.7128939
4930,0.13253738
4931,0.49695757
4932,0.083839096
4933,0.80902016
4934,0.05547489
4935,0.14617312
4936,0.12935321
4937,0.08719629
4938,0.931273
4939,0.052686013
4940,0.36131454
4941,0.6331343
4942,0.75282913
4943,0.38608032
4944,0.08972537
4945,0.9259367
4946,0.35882854
4947,0.7985056
4948,0.08479617
4949,0.19469817
4950,0.2886077
4951,0.14681809
4952,0.18566832
4953,0.16731167
4954,0.45954385
4955,0.10723451
4956,0.113642596
4957,0.9218821
4958,0.23270176
4959,0.034014933
4960,0.30885014
4961,0.6854046
4962,0.26152152
4963,0.2521099
4964,0.6811746
4965,0.35409525
4966,0.07380321
4967,0.01583118
4968,0.4091273
4969,0.53556824
4970,0.33593887
4971,0.91057664
4972,0.5513093
4973,0.29353297
4974,0.07645694
4975,0.065386824
4976,0.72637415
4977,0.01823757
4978,0.9323005
4979,0.31134754
4980,0.0895624
4981,0.16338912
4982,0.28014967
4983,0.06773088
4984,0.25733757
4985,0.2756054
4986,0.28703046
4987,0.26565713
4988,0.93218035
4989,0.062133037
4990,0.06606362
4991,0.14911157
4992,0.062036842
4993,0.64503163
4994,0.3242609
4995,0.2199901
4996,0.18136746
4997,0.5551232
4998,0.23224455
4999,0.40534523
5000,0.11211738
5001,0.19099638
5002,0.050000988
5003,0.5135765
5004,0.892817
5005,0.26880985
5006,0.04795681
5007,0.752112
5008,0.05758383
5009,0.058667425
5010,0.037621453
5011,0.3393047
5012,0.116050124
5013,0.101104245
5014,0.03780543
5015,0.016715256
5016,0.061481893
5017,0.48963976
5018,0.9118179
5019,0.052208263
5020,0.15294759
5021,0.42476276
5022,0.83335435
5023,0.77305907
5024,0.10246534
5025,0.089861
5026,0.10261219
5027,0.25470257
5028,0.041287728
5029,0.022566129
5030,0.7369719
5031,0.25135264
5032,0.19631268
5033,0.09317085
5034,0.83330184
5035,0.05759503
5036,0.068220705
5037,0.3554327
5038,0.25698775
5039,0.15062976
5040,0.57803404
5041,0.076241285
5042,0.48141465
5043,0.91488063
5044,0.7935355
5045,0.19586772
5046,0.35651758
5047,0.20517601
5048,0.09479145
5049,0.16668026
5050,0.15661171
5051,0.6637538
5052,0.8474917
5053,0.031392295
5054,0.089821264
5055,0.22820862
5056,0.12950757
5057,0.118211985
5058,0.25063363
5059,0.80573314
5060,0.29502928
5061,0.09112539
5062,0.0696959
5063,0.04405213
5064,0.10544354
5065,0.010635308
5066,0.6877209
5067,0.8518816
5068,0.07428065
5069,0.18774176
5070,0.2679198
5071,0.4394684
5072,0.7105287
5073,0.03923178
5074,0.8993395
5075,0.8994291
5076,0.21737939
5077,0.21699516
5078,0.041484907
5079,0.9177081
5080,0.042966817
5081,0.16831024
5082,0.060559507
5083,0.8523221
5084,0.72053146
5085,0.17794625
5086,0.41839904
5087,0.049358986
5088,0.37902552
5089,0.6921056
5090,0.04980429
5091,0.03546022
5092,0.13101491
5093,0.117754854
5094,0.5005288
5095,0.10695779
5096,0.13276139
5097,0.07345724
5098,0.873992
5099,0.072053775
5100,0.13660038
5101,0.09028179
5102,0.50643325
5103,0.0386839
5104,0.032092128
5105,0.11644347
5106,0.27073562
5107,0.72986764
5108,0.30072814
5109,0.2809564
5110,0.681318
5111,0.27622604
5112,0.28982967
5113,0.78150755
5114,0.083650395
5115,0.16128378
5116,0.1764431
5117,0.10380335
5118,0.30233702
5119,0.32521784
5120,0.31998158
5121,0.53081983
5122,0.11526698
5123,0.37372237
5124,0.06571208
5125,0.049752332
5126,0.06160647
5127,0.45315266
5128,0.17054667
5129,0.081626944
5130,0.55864966
5131,0.33714134
5132,0.0058284383
5133,0.24229689
5134,0.044889927
5135,0.3186875
5136,0.3383194
5137,0.77078974
5138,0.6757524
5139,0.8690426
5140,0.92754906
5141,0.59181964
5142,0.28220284
5143,0.028840194
5144,0.14725593
5145,0.51483047
5146,0.04159635
5147,0.095630474
5148,0.13150218
5149,0.8228687
5150,0.08558344
5151,0.6028434
5152,0.7943554
5153,0.15211165
5154,0.80109704
5155,0.44419903
5156,0.9644986
5157,0.0066530425
5158,0.3899936
5159,0.4104106
5160,0.9360019
5161,0.10831807
5162,0.773335
5163,0.28430867
5164,0.55135185
5165,0.85423183
5166,0.03620577
5167,0.017842136
5168,0.39403746
5169,0.087156825
5170,0.6217337
5171,0.13027693
5172,0.50469667
5173,0.108947106
5174,0.65448904
5175,0.44755578
5176,0.31177503
5177,0.6627319
5178,0.37805295
5179,0.5160883
5180,0.18178862
5181,0.027264971
5182,0.5697429
5183,0.12122347
5184,0.04102832
5185,0.11786367
5186,0.9365958
5187,0.3948147
5188,0.2462416
5189,0.13065724
5190,0.16779624
5191,0.20420574
5192,0.36693195
5193,0.86738276
5194,0.15079314
5195,0.15354106
5196,0.05573913
5197,0.05821597
5198,0.098436795
5199,0.040905762
5200,0.09227074
5201,0.077067964
5202,0.89765966
5203,0.2502961
5204,0.3059596
5205,0.06334828
5206,0.037137605
5207,0.055335373
5208,0.10692735
5209,0.18797992
5210,0.29916117
5211,0.043031402
5212,0.24878246
5213,0.18342118
5214,0.14627719
5215,0.5107933
5216,0.049442217
5217,0.093925714
5218,0.7311077
5219,0.101475395
5220,0.8503583
5221,0.25296488
5222,0.9042899
5223,0.054284614
5224,0.26836354
5225,0.15673187
5226,0.8334938
5227,0.30882713
5228,0.10221584
5229,0.25371584
5230,0.875731
5231,0.3236288
5232,0.33270615
5233,0.08158889
5234,0.26622498
5235,0.06169958
5236,0.11596089
5237,0.055847224
5238,0.7476725
5239,0.040396295
5240,0.9283987
5241,0.007802297
5242,0.47936448
5243,0.5611748
5244,0.5009497
5245,0.07257986
5246,0.91908306
5247,0.13725908
5248,0.048473302
5249,0.07259759
5250,0.5702161
5251,0.7981357
5252,0.8954371
5253,0.09762887
5254,0.62969065
5255,0.4262783
5256,0.3653196
5257,0.16571042
5258,0.78195804
5259,0.23214138
5260,0.83562726
5261,0.23068045
5262,0.1505455
5263,0.70762366
5264,0.20778407
5265,0.9286747
5266,0.22645982
5267,0.115888685
5268,0.51639503
5269,0.051939152
5270,0.35093477
5271,0.086786754
5272,0.0978014
5273,0.10398872
5274,0.099311985
5275,0.24641514
5276,0.8667715
5277,0.37468386
5278,0.1843166
5279,0.17289709
5280,0.8787413
5281,0.7832157
5282,0.010438258
5283,0.21555267
5284,0.019159297
5285,0.20163338
5286,0.06603319
5287,0.9383761
5288,0.02494996
5289,0.06056153
5290,0.01162033
5291,0.819047
5292,0.19341101
5293,0.22199231
5294,0.068838194
5295,0.11925147
5296,0.9354631
5297,0.67632484
5298,0.72356594
5299,0.07429201
5300,0.12606794
5301,0.077884145
5302,0.36320275
5303,0.13215901
5304,0.25698
5305,0.08976876
5306,0.19106993
5307,0.6552207
5308,0.5965014
5309,0.72005194
5310,0.062082946
5311,0.13884553
5312,0.40201718
5313,0.03653432
5314,0.73492503
5315,0.054904394
5316,0.9443399
5317,0.022034705
5318,0.21074656
5319,0.112889774
5320,0.37536588
5321,0.25073516
5322,0.058248222
5323,0.15272819
5324,0.02672431
5325,0.87092185
5326,0.37186697
5327,0.066697426
5328,0.9012749
